t/s	x/m	y/m
14,44	-18,265	13,130
14,46	-18,401	13,139
14,48	-18,539	13,148
14,50	-18,676	13,157
14,52	-18,815	13,166
14,54	-18,953	13,175
14,56	-19,092	13,185
14,58	-19,231	13,194
14,60	-19,371	13,203
14,62	-19,511	13,212
14,64	-19,652	13,221
14,66	-19,793	13,230
14,68	-19,934	13,239
14,70	-20,076	13,248
14,72	-20,218	13,257
14,74	-20,360	13,266
14,76	-20,503	13,275
14,78	-20,647	13,284
14,80	-20,790	13,293
14,82	-20,934	13,302
14,84	-21,079	13,310
14,86	-21,224	13,319
14,88	-21,369	13,328
14,90	-21,515	13,337
14,92	-21,661	13,346
14,94	-21,808	13,355
14,96	-21,955	13,363
14,98	-22,102	13,372
15,00	-22,250	13,381
15,02	-22,398	13,390
15,04	-22,547	13,399
15,06	-22,696	13,407
15,08	-22,845	13,416
15,10	-22,995	13,425
15,12	-23,145	13,433
15,14	-23,296	13,442
15,16	-23,447	13,451
15,18	-23,599	13,459
15,20	-23,750	13,468
15,22	-23,903	13,476
15,24	-24,055	13,485
15,26	-24,209	13,494
15,28	-24,362	13,502
15,30	-24,516	13,511
15,32	-24,670	13,519
15,34	-24,825	13,528
15,36	-24,980	13,536
15,38	-25,136	13,545
15,40	-25,292	13,553
15,42	-25,449	13,562
15,44	-25,605	13,570
15,46	-25,763	13,579
15,48	-25,920	13,587
15,50	-26,078	13,595
15,52	-26,237	13,604
15,54	-26,396	13,612
15,56	-26,555	13,620
15,58	-26,715	13,629
15,60	-26,875	13,637
15,62	-27,036	13,645
15,64	-27,197	13,654
15,66	-27,358	13,662
15,68	-27,520	13,670
15,70	-27,683	13,678
15,72	-27,845	13,687
15,74	-28,009	13,695
15,76	-28,172	13,703
15,78	-28,336	13,711
15,80	-28,500	13,719
15,82	-28,665	13,727
15,84	-28,831	13,736
15,86	-28,996	13,744
15,88	-29,162	13,752
15,90	-29,329	13,760
15,92	-29,496	13,768
15,94	-29,663	13,776
15,96	-29,831	13,784
15,98	-29,999	13,792
16,00	-30,168	13,800
16,02	-30,337	13,808
16,04	-30,507	13,816
16,06	-30,677	13,824
16,08	-30,847	13,832
16,10	-31,018	13,840
16,12	-31,189	13,848
16,14	-31,361	13,856
16,16	-31,533	13,864
16,18	-31,705	13,871
16,20	-31,878	13,879
16,22	-32,052	13,887
16,24	-32,225	13,895
16,26	-32,400	13,903
16,28	-32,574	13,911
16,30	-32,749	13,918
16,32	-32,925	13,926
16,34	-33,101	13,934
16,36	-33,277	13,942
16,38	-33,454	13,949
16,40	-33,632	13,957
16,42	-33,809	13,965
16,44	-33,987	13,972
16,46	-34,166	13,980
16,48	-34,345	13,988
16,50	-34,524	13,995
16,52	-34,704	14,003
16,54	-34,885	14,011
16,56	-35,066	14,018
16,58	-35,247	14,026
16,60	-35,428	14,033
16,62	-35,610	14,041
16,64	-35,793	14,048
16,66	-35,976	14,056
16,68	-36,159	14,063
16,70	-36,343	14,071
16,72	-36,527	14,078
16,74	-36,712	14,086
16,76	-36,897	14,093
16,78	-37,083	14,101
16,80	-37,269	14,108
16,82	-37,456	14,115
16,84	-37,642	14,123
16,86	-37,830	14,130
16,88	-38,018	14,138
16,90	-38,206	14,145
16,92	-38,395	14,152
